"Tile.Size","Match.Score","Prev.Length","Prev.Type","Browse.Time"
0.3,79,65,"TT",12.6338521379353
0.3,79,65,"TT",10.3883946155572
0.3,79,65,"TT",10.6420725247921
0.3,79,65,"TT",10.5646782843482
0.3,79,65,"TT",10.5935403310125
0.3,79,65,"TT",12.0528556521281
0.3,79,65,"TT",11.6354006057842
0.3,79,65,"TT",11.0010935792665
0.3,79,65,"TT",11.8030886090541
0.3,79,65,"TT",10.0251724042222
0.3,79,65,"TT",10.7970377768748
0.3,79,65,"TT",10.9525382642056
0.3,79,65,"TT",10.6950283566919
0.3,79,65,"TT",10.9099443034373
0.3,79,65,"TT",10.5617551395395
0.3,79,65,"TT",10.143163758028
0.3,79,65,"TT",11.4103264232394
0.3,79,65,"TT",11.9051607281547
0.3,79,65,"TT",8.51641128028027
0.3,79,65,"TT",11.033189945696
0.3,79,65,"TT",12.1553129594529
0.3,79,65,"TT",10.8472322455799
0.3,79,65,"TT",9.47858996438577
0.3,79,65,"TT",9.19504743700871
0.3,79,65,"TT",9.77446203065357
0.3,79,65,"TT",12.0918923298452
0.3,79,65,"TT",11.3584182948337
0.3,79,65,"TT",11.9859639601742
0.3,79,65,"TT",11.2282154198638
0.3,79,65,"TT",12.1530625850925
0.3,79,65,"TT",10.4379052394301
0.3,79,65,"TT",12.0938212301945
0.3,79,65,"TT",9.77815133357051
0.3,79,65,"TT",10.25976794974
0.3,79,65,"TT",10.9958771137209
0.3,79,65,"TT",9.31944455913176
0.3,79,65,"TT",12.9719359625596
0.3,79,65,"TT",10.5367945297165
0.3,79,65,"TT",9.31842133854836
0.3,79,65,"TT",10.0931350208006
0.3,79,65,"TT",12.4839443536063
0.3,79,65,"TT",11.1086878150147
0.3,79,65,"TT",9.01180552214159
0.3,79,65,"TT",11.3300447241809
0.3,79,65,"TT",10.3285195809698
0.3,79,65,"TT",10.8616695037268
0.3,79,65,"TT",9.88230410085618
0.3,79,65,"TT",9.80917849978155
0.3,79,65,"TT",11.2189373447206
0.3,79,65,"TT",9.42579329547885
0.3,79,65,"TT",11.1618188948414
0.3,79,65,"TT",12.2520688474338
0.3,79,65,"TT",10.6558504342327
0.3,79,65,"TT",12.55952966393
0.3,79,65,"TT",10.3894763947606
0.3,79,65,"TT",11.9539941676141
0.3,79,65,"TT",12.2038239542069
0.3,79,65,"TT",9.55985756117513
0.3,79,65,"TT",10.1351189777391
0.3,79,65,"TT",11.4719378524042
0.3,79,65,"TT",10.1514031501848
0.3,79,65,"TT",11.2062179678581
0.3,79,65,"TT",10.4682763102201
0.3,79,65,"TT",11.5775404973201
0.3,79,65,"TT",13.0260987219509
0.3,79,65,"TT",11.0345919095277
0.3,79,65,"TT",11.0349473134979
0.3,79,65,"TT",12.3256520320758
0.3,79,65,"TT",11.9388943424216
0.3,79,65,"TT",11.154438557372
0.3,79,65,"TT",11.2807988651724
0.3,79,65,"TT",10.3872598814331
0.3,79,65,"TT",12.4440146442392
0.3,79,65,"TT",11.0207325004833
0.3,79,65,"TT",11.329786651793
0.3,79,65,"TT",11.7368000771599
0.3,79,65,"TT",11.4102715264811
0.3,79,65,"TT",12.2477138981362
0.3,79,65,"TT",8.72745572921563
0.3,79,65,"TT",11.4562001789097
0.3,79,65,"TT",12.9072062454469
0.3,79,65,"TT",10.8992338060829
0.3,79,65,"TT",12.2390460400602
0.3,79,65,"TT",11.8201249871755
0.3,79,65,"TT",11.0364360621897
0.3,79,65,"TT",9.77039621565952
0.3,79,65,"TT",11.6186374582269
0.3,79,65,"TT",11.371858315349
0.3,79,65,"TT",9.99449025189724
0.3,79,65,"TT",10.6559757882453
0.3,79,65,"TT",11.8159777757114
0.3,79,65,"TT",10.3916009945456
0.3,79,65,"TT",10.403409027099
0.3,79,65,"TT",10.8501749765965
0.3,79,65,"TT",11.0723235276381
0.3,79,65,"TT",10.2846390604705
0.3,79,65,"TT",11.206763976122
0.3,79,65,"TT",11.9952097992344
0.3,79,65,"TT",11.0368540992087
0.3,79,65,"TT",11.8786662987745
