"Tile.Size","Match.Score","Prev.Length","Prev.Type","Browse.Time"
0.3,82,70,"AC",14.4908108351936
0.3,82,70,"TT",10.944605344584
0.3,82,70,"AC",17.6835997235365
0.3,82,70,"TT",10.0638076323512
0.3,82,70,"AC",15.2511206313859
0.3,82,70,"TT",10.0829328701738
0.3,82,70,"AC",14.8753277668608
0.3,82,70,"TT",11.3379399906809
0.3,82,70,"AC",14.7096381886828
0.3,82,70,"TT",11.0103754770161
0.3,82,70,"AC",15.1297589146433
0.3,82,70,"TT",10.1993590994677
0.3,82,70,"AC",16.0275582396893
0.3,82,70,"TT",9.30705417684228
0.3,82,70,"AC",16.4265220400121
0.3,82,70,"TT",12.6848101596781
0.3,82,70,"AC",14.0784020755069
0.3,82,70,"TT",12.1901427688624
0.3,82,70,"AC",16.3453640915582
0.3,82,70,"TT",11.6528799249246
0.3,82,70,"AC",15.1285192357977
0.3,82,70,"TT",9.35549782583482
0.3,82,70,"AC",14.6557181634459
0.3,82,70,"TT",10.5035075855051
0.3,82,70,"AC",14.520721445937
0.3,82,70,"TT",11.5394943582638
0.3,82,70,"AC",15.8731837575061
0.3,82,70,"TT",12.3169960882955
0.3,82,70,"AC",14.9726179056464
0.3,82,70,"TT",10.8648820973493
0.3,82,70,"AC",15.4326014120901
0.3,82,70,"TT",9.65259582252137
0.3,82,70,"AC",14.6634808864386
0.3,82,70,"TT",12.4097918526593
0.3,82,70,"AC",14.7251309023817
0.3,82,70,"TT",11.1207881108535
0.3,82,70,"AC",14.2207866178115
0.3,82,70,"TT",10.6625873970631
0.3,82,70,"AC",15.7086598240128
0.3,82,70,"TT",11.0314772386033
0.3,82,70,"AC",13.6236559362056
0.3,82,70,"TT",10.3310317497423
0.3,82,70,"AC",15.5185011553814
0.3,82,70,"TT",9.97901311154957
0.3,82,70,"AC",15.6429445324682
0.3,82,70,"TT",9.91622426032645
0.3,82,70,"AC",16.1265191842944
0.3,82,70,"TT",10.9372082142672
0.3,82,70,"AC",13.9972078104271
0.3,82,70,"TT",13.2817784126941
0.3,82,70,"AC",14.1023627891478
0.3,82,70,"TT",12.1762757430676
0.3,82,70,"AC",14.1103324817099
0.3,82,70,"TT",11.3039494784571
0.3,82,70,"AC",14.4067011096936
0.3,82,70,"TT",12.1139831840326
0.3,82,70,"AC",14.8280728777898
0.3,82,70,"TT",11.1186866600974
0.3,82,70,"AC",14.405427355215
0.3,82,70,"TT",9.8651921736157
0.3,82,70,"AC",15.206169719064
0.3,82,70,"TT",11.2856059055583
0.3,82,70,"AC",13.8345561713142
0.3,82,70,"TT",10.067955962156
0.3,82,70,"AC",17.1568118321937
0.3,82,70,"TT",10.7835883063306
0.3,82,70,"AC",15.2296806543466
0.3,82,70,"TT",10.4277502534521
0.3,82,70,"AC",17.1450222429532
0.3,82,70,"TT",10.1628105381905
0.3,82,70,"AC",15.4643837501036
0.3,82,70,"TT",12.0170157446071
0.3,82,70,"AC",14.9046510385984
0.3,82,70,"TT",8.60845924202065
